filename,class_number
000318.png,48
000319.png,17
000320.png,48
000321.png,48
000322.png,25
000323.png,17
000324.png,25
000325.png,17
000326.png,48
000327.png,48
000328.png,48
000329.png,48
000330.png,63
000331.png,63
000332.png,63
000333.png,23
000334.png,23
000335.png,23
000336.png,48
000337.png,48
000338.png,48
000339.png,18
000340.png,2
000341.png,18
000342.png,2
000343.png,18
000344.png,2
000345.png,18
000346.png,2
000347.png,18
000348.png,18
000349.png,18
000350.png,1
000351.png,42
000352.png,1
000353.png,42
000354.png,1
000355.png,42
000356.png,18
000357.png,18
000358.png,2
000359.png,18
000360.png,41
000361.png,2
000362.png,18
000363.png,41
000364.png,48
000365.png,48
000366.png,48
000367.png,48
000368.png,48
000369.png,18
000370.png,18
000371.png,18
000372.png,18
000373.png,18
000374.png,18
000375.png,1
000376.png,42
000377.png,1
000378.png,42
000379.png,1
000380.png,42
000381.png,1
000382.png,42
000383.png,42
000384.png,2
000385.png,42
000386.png,42
000387.png,2
000388.png,42
000389.png,2
000390.png,18
000391.png,42
000392.png,18
000393.png,42
000394.png,18
000395.png,42
000396.png,18
000397.png,42
000398.png,9
000399.png,18
000400.png,42
000401.png,9
000402.png,18
000403.png,42
000404.png,9
000405.png,18
000406.png,9
000407.png,18
000408.png,9
000409.png,18
000410.png,40
000411.png,18
000412.png,40
000413.png,40
000414.png,40
000415.png,40
000416.png,9
000417.png,41
000418.png,9
000419.png,41
000420.png,18
000421.png,54
000422.png,18
000423.png,18
000424.png,18
000425.png,18
000426.png,18
000427.png,18
000428.png,18
000429.png,2
000430.png,2
000431.png,2
000432.png,18
000433.png,18
000434.png,18
000435.png,18
000436.png,18
000437.png,18
000438.png,9
000439.png,41
000440.png,9
000441.png,41
000442.png,9
000443.png,9
000444.png,41
000445.png,9
000446.png,41
000447.png,9
000448.png,41
000449.png,9
000450.png,41
000451.png,18
000452.png,42
000453.png,18
000454.png,42
000455.png,18
000456.png,18
000457.png,18
000458.png,18
000459.png,9
000460.png,9
000461.png,9
000462.png,9
000463.png,9
000464.png,41
000465.png,41
000466.png,41
000467.png,41
000468.png,41
000469.png,9
000470.png,42
000471.png,9
000472.png,18
000473.png,42
000474.png,2
000475.png,42
000476.png,2
000477.png,42
000478.png,2
000479.png,42
000480.png,4
000481.png,4
000482.png,4
000483.png,4
000484.png,4
000485.png,9
000486.png,42
000487.png,9
000488.png,42
000489.png,9
000490.png,42
000491.png,9
000492.png,42
000493.png,9
000494.png,42
000495.png,9
000496.png,42
000497.png,40
000498.png,9
000499.png,42
000500.png,40
000501.png,40
000502.png,40
000503.png,40
000504.png,9
000505.png,42
000506.png,9
000507.png,42
000508.png,9
000509.png,42
000510.png,42
000511.png,40
000512.png,9
000513.png,42
000514.png,40
000515.png,40
000516.png,40
000517.png,18
000518.png,18
000519.png,18
000520.png,9
000521.png,41
000522.png,18
000523.png,42
000524.png,18
000525.png,18
000526.png,18
000527.png,18
000528.png,18
000529.png,9
000530.png,43
000531.png,8
000532.png,13
000533.png,9
000534.png,43
000535.png,8
000536.png,13
000537.png,9
000538.png,43
000539.png,8
000540.png,13
000541.png,9
000542.png,9
000543.png,9
000544.png,41
000545.png,41
000546.png,41
000547.png,41
000548.png,9
000549.png,41
000550.png,9
000551.png,41
000552.png,9
000553.png,41
000554.png,9
000555.png,41
000556.png,9
000557.png,41
000558.png,9
000559.png,41
000560.png,9
000561.png,9
000562.png,41
000563.png,9
000564.png,41
000565.png,9
000566.png,41
000567.png,9
000568.png,41
000569.png,42
000570.png,7
000571.png,48
000572.png,48
000573.png,48
000574.png,2
000575.png,2
000576.png,3
000577.png,3
000578.png,3
000579.png,23
000580.png,13
000581.png,13
000582.png,7
000583.png,13
000584.png,7
000585.png,13
000586.png,7
000587.png,13
000588.png,7
000589.png,2
000590.png,2
000591.png,2
000592.png,1
000593.png,1
000594.png,1
000595.png,42
000596.png,42
000597.png,42
000598.png,42
000599.png,9
000600.png,9
000601.png,3
000602.png,3
000603.png,3
000604.png,42
000605.png,9
000606.png,40
000607.png,9
000608.png,40
000609.png,9
000610.png,40
000611.png,9
000612.png,40
000613.png,42
000614.png,42
000615.png,42
000616.png,42
000617.png,48
000618.png,48
000619.png,48
000620.png,48
000621.png,8
000622.png,8
000623.png,8
000624.png,8
000625.png,8
000626.png,48
000627.png,48
000628.png,42
000629.png,42
000630.png,42
000631.png,42
000632.png,40
000633.png,40
000634.png,40
000635.png,20
000636.png,20
000637.png,20
000638.png,48
000639.png,48
000640.png,2
000641.png,26
000642.png,3
000643.png,26
000644.png,3
000645.png,26
000646.png,2
000647.png,2
000648.png,2
000649.png,48
000650.png,48
000651.png,1
000652.png,1
000653.png,42
000654.png,4
000655.png,4
000656.png,48
000657.png,48
000658.png,3
000659.png,45
000660.png,1
000661.png,1
000662.png,1
000663.png,1
000664.png,46
000665.png,46
000666.png,46
000667.png,44
000668.png,7
000669.png,44
000670.png,7
000671.png,44
000672.png,7
000673.png,23
000674.png,48
000675.png,48
000676.png,48
000677.png,48
000678.png,43
000679.png,52
000680.png,27
000681.png,27
000682.png,29
000683.png,29
000684.png,29
000685.png,29
000686.png,29
000687.png,29
000688.png,63
000689.png,63
000690.png,63
000691.png,63
000692.png,27
000693.png,27
000694.png,27
000695.png,27
000696.png,27
000697.png,27
000698.png,18
000699.png,18
000700.png,18
000701.png,18
000702.png,38
000703.png,38
000704.png,38
000705.png,8
000706.png,8
000707.png,3
000708.png,3
000709.png,13
000710.png,13
000711.png,13
000712.png,8
000713.png,8
000714.png,3
000715.png,3
000716.png,17
000717.png,17
000718.png,33
000719.png,42
000720.png,42
000721.png,42
000722.png,42
000723.png,42
000724.png,42
000725.png,26
000726.png,37
000727.png,45
000728.png,26
000729.png,37
000730.png,45
000731.png,26
000732.png,37
000733.png,45
000734.png,38
000735.png,45
000736.png,38
000737.png,45
000738.png,45
000739.png,45
000740.png,7
000741.png,7
000742.png,38
000743.png,38
000744.png,38
000745.png,17
000746.png,45
000747.png,38
000748.png,38
000749.png,38
000750.png,45
000751.png,2
000752.png,2
000753.png,42
000754.png,42
000755.png,42
000756.png,42
000757.png,42
000758.png,42
000759.png,8
000760.png,40
000761.png,8
000762.png,40
000763.png,18
000764.png,18
000765.png,18
000766.png,18
000767.png,18
000768.png,18
000769.png,18
000770.png,18
000771.png,18
000772.png,18
000773.png,18
000774.png,18
000775.png,18
000776.png,18
000777.png,18
000778.png,18
000779.png,18
000780.png,18
000781.png,18
000782.png,18
000783.png,1
000784.png,1
000785.png,1
000786.png,1
000787.png,18
000788.png,42
000789.png,18
000790.png,42
000791.png,18
000792.png,42
000793.png,18
000794.png,42
000795.png,8
000796.png,8
000797.png,18
000798.png,18
000799.png,18
000800.png,18
000801.png,18
000802.png,8
000803.png,8
000804.png,8
000805.png,1
000806.png,1
000807.png,1
000808.png,1
000809.png,13
000810.png,55
000811.png,55
000812.png,25
000813.png,25
000814.png,18
000815.png,23
000816.png,18
000817.png,23
000818.png,23
000819.png,18
000820.png,18
000821.png,18
000822.png,25
000823.png,13
000824.png,25
000825.png,13
000826.png,25
000827.png,23
000828.png,55
000829.png,23
000830.png,55
000831.png,44
000832.png,48
000833.png,44
000834.png,48
000835.png,44
000836.png,48
000837.png,44
000838.png,48
000839.png,44
000840.png,48
000841.png,44
000842.png,48
000843.png,44
000844.png,48
000845.png,44
000846.png,48
000847.png,44
000848.png,48
000849.png,44
000850.png,48
000851.png,44
000852.png,48
000853.png,44
000854.png,48
000855.png,44
000856.png,48
000857.png,44
000858.png,48
000859.png,44
000860.png,48
000861.png,44
000862.png,48
000863.png,44
000864.png,48
000865.png,44
000866.png,48
000867.png,44
000868.png,48
000869.png,44
000870.png,48
000871.png,44
000872.png,48
000873.png,44
000874.png,48
000875.png,44
000876.png,48
000877.png,44
000878.png,48
000879.png,44
000880.png,48
000881.png,44
000882.png,48
000883.png,44
000884.png,48
000885.png,44
000886.png,48
000887.png,7
000888.png,7
000889.png,7
000890.png,7
000891.png,7
000892.png,38
000893.png,38
000894.png,25
000895.png,25
000896.png,38
000897.png,38
000898.png,24
000899.png,24
000900.png,24
000901.png,38
000902.png,45
000903.png,38
000904.png,45
000905.png,24
000906.png,26
000907.png,24
000908.png,26
000909.png,26
000910.png,2
000911.png,2
000912.png,26
000913.png,26
000914.png,38
000915.png,45
000916.png,45
000917.png,26
000918.png,17
000919.png,26
000920.png,17
000921.png,38
000922.png,38
000923.png,25
000924.png,38
000925.png,38
000926.png,26
000927.png,17
000928.png,45
000929.png,45
000930.png,45
000931.png,24
000932.png,38
000933.png,38
000934.png,25
000935.png,25
000936.png,42
000937.png,45
000938.png,45
000939.png,45
000940.png,45
000941.png,18
000942.png,18
000943.png,18
000944.png,18
000945.png,18
000946.png,18
000947.png,2
000948.png,2
000949.png,2
000950.png,38
000951.png,38
000952.png,3
000953.png,3
000954.png,25
000955.png,25
000956.png,1
000957.png,1
000958.png,24
000959.png,38
000960.png,24
000961.png,38
000962.png,24
000963.png,38
000964.png,24
000965.png,38
000966.png,4
000967.png,4
000968.png,53
000969.png,53
000970.png,53
000971.png,53
000972.png,53
000973.png,53
000974.png,43
000975.png,43
000976.png,43
000977.png,43
000978.png,43
000979.png,43
000980.png,43
000981.png,29
000982.png,29
000983.png,29
000984.png,29
000985.png,29
000986.png,29
000987.png,29
000988.png,29
000989.png,29
000990.png,29
000991.png,43
000992.png,43
000993.png,43
000994.png,43
000995.png,43
000996.png,43
000997.png,27
000998.png,27
000999.png,27
001000.png,27
001001.png,56
001002.png,27
001003.png,56
001004.png,18
001005.png,27
001006.png,56
001007.png,18
001008.png,27
001009.png,56
001010.png,18
001011.png,27
001012.png,56
001013.png,18
001014.png,18
001015.png,18
001016.png,18
001017.png,18
001018.png,18
001019.png,18
001020.png,18
001021.png,18
001022.png,18
001023.png,18
001024.png,18
001025.png,18
001026.png,18
001027.png,18
001028.png,18
001029.png,18
001030.png,18
001031.png,18
001032.png,18
001033.png,42
001034.png,42
001035.png,42
001036.png,42
001037.png,18
001038.png,18
001039.png,18
001040.png,18
001041.png,18
001042.png,53
001043.png,4
001044.png,4
001045.png,4
001046.png,29
001047.png,29
001048.png,18
001049.png,18
001050.png,18
001051.png,18
001052.png,18
001053.png,18
001054.png,18
001055.png,18
001056.png,42
001057.png,18
001058.png,42
001059.png,18
001060.png,42
001061.png,18
001062.png,42
001063.png,18
001064.png,18
001065.png,18
001066.png,18
001067.png,9
001068.png,18
001069.png,9
001070.png,18
001071.png,42
001072.png,18
001073.png,42
001074.png,18
001075.png,42
001076.png,18
001077.png,42
001078.png,18
001079.png,42
001080.png,18
001081.png,42
001082.png,18
001083.png,42
001084.png,18
001085.png,18
001086.png,18
001087.png,18
001088.png,18
001089.png,18
001090.png,18
001091.png,18
001092.png,18
001093.png,18
001094.png,18
001095.png,18
001096.png,18
001097.png,18
001098.png,18
001099.png,18
001100.png,18
001101.png,18
001102.png,18
001103.png,18
001104.png,18
001105.png,18
001106.png,18
001107.png,18
001108.png,18
001109.png,18
001110.png,18
001111.png,18
001112.png,18
001113.png,18
001114.png,18
001115.png,24
001116.png,24
001117.png,24
001118.png,24
001119.png,24
001120.png,24
001121.png,18
001122.png,42
001123.png,18
001124.png,42
001125.png,18
001126.png,42
001127.png,18
001128.png,42
001129.png,18
001130.png,42
001131.png,8
001132.png,40
001133.png,8
001134.png,40
001135.png,8
001136.png,40
001137.png,18
001138.png,18
001139.png,18
001140.png,18
001141.png,18
001142.png,8
001143.png,8
001144.png,40
001145.png,8
001146.png,40
001147.png,8
001148.png,40
001149.png,8
001150.png,40
001151.png,8
001152.png,40
001153.png,8
001154.png,40
001155.png,17
001156.png,17
001157.png,17
001158.png,17
001159.png,48
001160.png,48
001161.png,48
001162.png,48
001163.png,48
001164.png,48
001165.png,48
001166.png,48
001167.png,27
001168.png,27
001169.png,27
001170.png,40
001171.png,8
001172.png,40
001173.png,8
001174.png,40
001175.png,8
001176.png,40
001177.png,8
001178.png,45
001179.png,45
001180.png,45
001181.png,9
001182.png,9
001183.png,9
001184.png,18
001185.png,9
001186.png,42
001187.png,18
001188.png,48
001189.png,9
001190.png,48
001191.png,9
001192.png,42
001193.png,18
001194.png,48
001195.png,9
001196.png,42
001197.png,2
001198.png,2
001199.png,38
001200.png,2
001201.png,38
001202.png,2
001203.png,38
001204.png,2
001205.png,38
001206.png,18
001207.png,42
001208.png,18
001209.png,42
001210.png,18
001211.png,42
001212.png,18
001213.png,42
001214.png,18
001215.png,18
001216.png,18
001217.png,18
001218.png,18
001219.png,18
001220.png,7
001221.png,7
001222.png,9
001223.png,9
001224.png,9
001225.png,48
001226.png,48
001227.png,48
001228.png,48
001229.png,12
001230.png,12
001231.png,12
001232.png,48
001233.png,48
001234.png,48
001235.png,48
001236.png,48
001237.png,48
001238.png,48
001239.png,48
001240.png,48
001241.png,48
001242.png,48
001243.png,48
001244.png,48
001245.png,48
001246.png,55
001247.png,55
001248.png,55
001249.png,55
001250.png,55
001251.png,55
001252.png,21
001253.png,21
001254.png,21
001255.png,21
001256.png,17
001257.png,17
001258.png,17
001259.png,17
001260.png,29
001261.png,29
001262.png,29
001263.png,29
001264.png,29
001265.png,29
001266.png,42
001267.png,42
001268.png,42
001269.png,42
001270.png,57
001271.png,57
001272.png,17
001273.png,17
001274.png,17
001275.png,48
001276.png,48
001277.png,48
001278.png,48
001279.png,48
001280.png,48
001281.png,48
001282.png,48
001283.png,48
001284.png,48
001285.png,48
001286.png,48
001287.png,56
001288.png,56
001289.png,56
001290.png,56
001291.png,56
001292.png,56
001293.png,3
001294.png,3
001295.png,56
001296.png,56
001297.png,56
001298.png,56
001299.png,48
001300.png,48
001301.png,48
001302.png,48
001303.png,23
001304.png,23
001305.png,63
001306.png,17
001307.png,17
001308.png,25
001309.png,25
001310.png,43
001311.png,33
001312.png,43
001313.png,65
001314.png,65
001315.png,55
001316.png,55
001317.png,55
001318.png,57
001319.png,7
001320.png,7
001321.png,7
001322.png,25
001323.png,25
001324.png,55
001325.png,55
001326.png,25
001327.png,25
001328.png,48
001329.png,48
001330.png,48
001331.png,48
001332.png,63
001333.png,63
001334.png,48
001335.png,63
001336.png,7
001337.png,7
001338.png,55
001339.png,56
001340.png,11
001341.png,11
001342.png,63
001343.png,63
001344.png,63
001345.png,23
001346.png,23
001347.png,65
001348.png,65
001349.png,48
001350.png,23
001351.png,23
001352.png,14
001353.png,14
001354.png,60
001355.png,48
001356.png,48
001357.png,65
001358.png,23
001359.png,48
001360.png,23
001361.png,48
001362.png,56
001363.png,48
001364.png,56
001365.png,48
001366.png,48
001367.png,48
001368.png,48
001369.png,48
001370.png,48
001371.png,48
001372.png,48
001373.png,55
001374.png,55
001375.png,18
001376.png,18
001377.png,63
001378.png,63
001379.png,63
001380.png,48
001381.png,48
001382.png,55
001383.png,55
001384.png,55
001385.png,55
001386.png,63
001387.png,63
001388.png,63
001389.png,63
001390.png,63
001391.png,63
001392.png,63
001393.png,63
001394.png,63
001395.png,63
001396.png,53
001397.png,7
001398.png,7
001399.png,8
001400.png,8
001401.png,8
001402.png,63
001403.png,63
001404.png,63
001405.png,63
001406.png,48
001407.png,48
001408.png,63
001409.png,63
001410.png,8
001411.png,63
001412.png,8
001413.png,63
001414.png,8
001415.png,63
001416.png,8
001417.png,63
001418.png,63
001419.png,63
001420.png,63
001421.png,55
001422.png,55
001423.png,55
001424.png,55
001425.png,65
001426.png,65
001427.png,56
001428.png,48
001429.png,48
001430.png,17
001431.png,17
001432.png,57
001433.png,63
001434.png,63
001435.png,48
001436.png,7
001437.png,63
001438.png,63
001439.png,48
001440.png,7
001441.png,63
001442.png,63
001443.png,7
001444.png,63
001445.png,63
001446.png,48
001447.png,48
001448.png,33
001449.png,48
001450.png,48
001451.png,48
001452.png,48
001453.png,48
001454.png,48
001455.png,48
001456.png,48
001457.png,65
001458.png,55
001459.png,55
001460.png,55
001461.png,65
001462.png,55
001463.png,53
001464.png,53
001465.png,53
001466.png,54
001467.png,54
001468.png,54
001469.png,54
001470.png,53
001471.png,66
001472.png,66
001473.png,66
001474.png,66
001475.png,61
001476.png,61
001477.png,61
001478.png,61
001479.png,61
001480.png,61
001481.png,18
001482.png,18
001483.png,18
001484.png,9
001485.png,18
001486.png,42
001487.png,9
001488.png,18
001489.png,42
001490.png,9
001491.png,18
001492.png,42
001493.png,9
001494.png,18
001495.png,42
001496.png,9
001497.png,18
001498.png,42
001499.png,40
001500.png,40
001501.png,40
001502.png,40
001503.png,40
001504.png,40
001505.png,40
001506.png,40
001507.png,18
001508.png,18
001509.png,42
001510.png,18
001511.png,42
001512.png,18
001513.png,42
001514.png,9
001515.png,18
001516.png,9
001517.png,18
001518.png,9
001519.png,18
001520.png,9
001521.png,18
001522.png,40
001523.png,40
001524.png,40
001525.png,40
001526.png,48
001527.png,48
001528.png,48
001529.png,48
001530.png,48
001531.png,48
001532.png,48
001533.png,48
001534.png,48
001535.png,55
001536.png,55
001537.png,55
001538.png,55
001539.png,55
001540.png,55
001541.png,55
001542.png,55
001543.png,55
001544.png,55
001545.png,55
001546.png,55
001547.png,53
001548.png,53
001549.png,53
001550.png,53
001551.png,53
001552.png,53
001553.png,53
001554.png,53
001555.png,53
001556.png,61
001557.png,65
001558.png,53
001559.png,61
001560.png,65
001561.png,53
001562.png,61
001563.png,65
001564.png,53
001565.png,65
001566.png,53
001567.png,53
001568.png,33
001569.png,33
001570.png,33
001571.png,33
001572.png,33
001573.png,33
001574.png,33
001575.png,33
001576.png,55
001577.png,55
001578.png,55
001579.png,55
001580.png,55
001581.png,55
001582.png,48
001583.png,48
001584.png,48
001585.png,48
001586.png,48
001587.png,48
001588.png,48
001589.png,48
001590.png,48
001591.png,48
001592.png,60
001593.png,60
001594.png,60
001595.png,60
001596.png,60
001597.png,60
001598.png,60
001599.png,60
001600.png,60
001601.png,60
001602.png,47
001603.png,47
001604.png,47
001605.png,47
001606.png,47
001607.png,60
001608.png,60
001609.png,56
001610.png,56
001611.png,56
001612.png,56
001613.png,56
001614.png,56
001615.png,65
001616.png,65
001617.png,65
001618.png,65
001619.png,65
001620.png,65
001621.png,65
001622.png,65
001623.png,53
001624.png,65
001625.png,53
001626.png,65
001627.png,53
001628.png,53
001629.png,53
001630.png,53
001631.png,44
001632.png,48
001633.png,44
001634.png,48
001635.png,65
001636.png,65
001637.png,44
001638.png,48
001639.png,65
001640.png,65
001641.png,44
001642.png,48
001643.png,65
001644.png,65
001645.png,65
001646.png,65
001647.png,65
001648.png,65
001649.png,65
001650.png,65
001651.png,65
001652.png,65
001653.png,65
001654.png,65
001655.png,65
001656.png,48
001657.png,44
001658.png,48
001659.png,44
001660.png,48
001661.png,44
001662.png,48
001663.png,44
001664.png,48
001665.png,44
001666.png,2
001667.png,2
001668.png,2
001669.png,2
001670.png,2
001671.png,2
001672.png,42
001673.png,30
001674.png,42
001675.png,30
001676.png,42
001677.png,30
001678.png,42
001679.png,30
001680.png,42
001681.png,30
001682.png,55
001683.png,55
001684.png,55
001685.png,55
001686.png,55
001687.png,55
001688.png,55
001689.png,55
001690.png,55
001691.png,55
001692.png,55
001693.png,55
001694.png,55
001695.png,55
001696.png,55
001697.png,55
001698.png,47
001699.png,47
001700.png,47
001701.png,47
001702.png,47
001703.png,64
001704.png,64
001705.png,64
001706.png,64
001707.png,64
001708.png,64
001709.png,64
001710.png,64
001711.png,64
001712.png,64
001713.png,64
001714.png,64
001715.png,64
001716.png,64
001717.png,64
001718.png,64
001719.png,64
001720.png,64
001721.png,64
001722.png,64
001723.png,64
001724.png,64
001725.png,64
001726.png,64
001727.png,64
001728.png,64
001729.png,64
001730.png,64
001731.png,64
001732.png,64
001733.png,64
001734.png,64
001735.png,64
001736.png,64
001737.png,64
001738.png,64
001739.png,64
001740.png,64
001741.png,64
001742.png,64
001743.png,64
001744.png,64
001745.png,64
001746.png,64
001747.png,64
001748.png,64
001749.png,64
001750.png,64
001751.png,64
001752.png,65
001753.png,65
001754.png,65
001755.png,65
001756.png,65
001757.png,65
001758.png,65
001759.png,65
001760.png,65
001761.png,65
001762.png,65
001763.png,65
001764.png,65
001765.png,44
001766.png,44
001767.png,44
001768.png,44
001769.png,44
001770.png,44
001771.png,44
001772.png,7
001773.png,7
001774.png,41
001775.png,7
001776.png,41
001777.png,7
001778.png,41
001779.png,7
001780.png,41
001781.png,7
001782.png,7
001783.png,7
001784.png,66
001785.png,66
001786.png,66
001787.png,66
001788.png,66
001789.png,66
001790.png,65
001791.png,29
001792.png,66
001793.png,65
001794.png,29
001795.png,66
001796.png,65
001797.png,29
001798.png,66
001799.png,65
001800.png,29
001801.png,66
001802.png,65
001803.png,29
001804.png,66
001805.png,65
001806.png,29
001807.png,65
001808.png,29
001809.png,29
001810.png,65
001811.png,29
001812.png,29
001813.png,65
001814.png,29
001815.png,29
001816.png,65
001817.png,29
001818.png,29
001819.png,29
001820.png,29
001821.png,29
001822.png,29
001823.png,29
001824.png,29
001825.png,29
001826.png,65
001827.png,65
001828.png,65
001829.png,65
001830.png,65
001831.png,65
001832.png,65
001833.png,65
001834.png,65
001835.png,65
001836.png,29
001837.png,29
001838.png,56
001839.png,56
001840.png,56
001841.png,56
001842.png,56
001843.png,56
001844.png,65
001845.png,56
001846.png,65
001847.png,56
001848.png,65
001849.png,56
001850.png,65
001851.png,56
001852.png,65
001853.png,65
001854.png,65
001855.png,65
001856.png,65
001857.png,56
001858.png,65
001859.png,56
001860.png,65
001861.png,65
001862.png,48
001863.png,48
001864.png,48
001865.png,48
001866.png,48
001867.png,48
001868.png,48
001869.png,19
001870.png,19
001871.png,19
001872.png,19
001873.png,19
001874.png,19
001875.png,19
001876.png,19
001877.png,19
001878.png,19
001879.png,19
001880.png,19
001881.png,19
001882.png,19
001883.png,60
001884.png,60
001885.png,60
001886.png,60
001887.png,60
001888.png,60
001889.png,60
001890.png,60
001891.png,60
001892.png,60
001893.png,60
001894.png,60
001895.png,19
001896.png,42
001897.png,19
001898.png,42
001899.png,19
001900.png,42
001901.png,19
001902.png,42
001903.png,19
001904.png,42
001905.png,19
001906.png,19
001907.png,19
001908.png,19
001909.png,19
001910.png,19
001911.png,19
001912.png,19
001913.png,60
001914.png,60
001915.png,60
001916.png,60
001917.png,60
001918.png,60
001919.png,60
001920.png,60
001921.png,60
001922.png,60
001923.png,60
001924.png,60
001925.png,60
001926.png,60
001927.png,60
001928.png,60
001929.png,60
001930.png,60
001931.png,60
001932.png,60
001933.png,60
001934.png,60
001935.png,60
001936.png,48
001937.png,60
001938.png,48
001939.png,60
001940.png,48
001941.png,60
001942.png,48
001943.png,60
001944.png,48
001945.png,60
001946.png,48
001947.png,48
001948.png,48
001949.png,48
001950.png,48
001951.png,48
001952.png,48
001953.png,48
001954.png,48
001955.png,48
001956.png,48
001957.png,48
001958.png,48
001959.png,48
001960.png,48
001961.png,48
001962.png,48
001963.png,48
001964.png,48
001965.png,48
001966.png,48
001967.png,48
001968.png,48
001969.png,48
001970.png,48
001971.png,48
001972.png,48
001973.png,48
001974.png,48
001975.png,48
001976.png,48
001977.png,48
001978.png,48
001979.png,48
001980.png,29
001981.png,29
001982.png,29
001983.png,29
001984.png,29
001985.png,29
001986.png,48
001987.png,48
001988.png,48
001989.png,48
001990.png,48
001991.png,48
001992.png,48
001993.png,48
001994.png,48
001995.png,48
001996.png,48
001997.png,48
